VectorData v1.0
METADATA{
        filedescrible=TITAN风暴识别,date=2016-07-07,time=07:36:00,record=508,coord=GEO,dimension=3,invaild=9999
}
TAB{
        keyName=时效,质心x,质心y,质心z,最大反射率因子,投影面积,体积
        keyType=int,float,float,float,float,float,float

}
DATA BEGIN
VALUE 0 118.114 29.1152 1.5 36.5 60.781 121.562
POLYGON 73
117.885 29.9719 9999
117.885 29.9736 9999
117.887 29.975 9999
117.893 29.975 9999
117.895 29.9755 9999
117.895 29.9765 9999
117.895 29.9776 9999
117.895 29.9789 9999
117.895 29.9803 9999
117.895 29.9819 9999
117.895 29.9838 9999
117.895 29.9862 9999
117.895 29.9892 9999
117.895 29.9933 9999
117.897 29.995 9999
117.899 29.995 9999
117.901 29.995 9999
117.903 29.995 9999
117.905 29.995 9999

VALUE 0 117.854 29.9888 1.5 45.5 28.2215 56.4429
POLYGON 73
117.854 30.015 9999
117.857 30.015 9999
117.859 30.015 9999
117.861 30.015 9999
117.864 30.015 9999
117.866 30.015 9999
117.869 30.015 9999
117.873 30.015 9999
117.876 30.015 9999
117.88 30.015 9999
117.885 30.0147 9999
117.885 30.0104 9999
117.885 30.0066 9999
117.885 30.0032 9999
117.885 30 9999
117.885 29.9971 9999
117.875 29.9925 9999
117.875 29.9907 9999
117.875 29.9888 9999
117.875 29.987 9999
117.875 29.9852 9999
117.875 29.9833 9999
117.875 29.9813 9999
117.875 29.9792 9999
117.875 29.9769 9999
117.875 29.9743 9999
117.875 29.9714 9999
117.875 29.9681 9999
117.874 29.965 9999
117.871 29.965 9999
117.868 29.965 9999
117.865 29.965 9999
117.865 29.9593 9999
117.863 29.955 9999
117.86 29.955 9999
117.857 29.955 9999
117.854 29.965 9999
117.852 29.965 9999
117.85 29.965 9999
117.848 29.965 9999
117.846 29.965 9999
117.843 29.965 9999
117.84 29.965 9999
117.838 29.965 9999
117.834 29.965 9999
117.83 29.965 9999
117.826 29.965 9999
117.825 29.9684 9999
117.825 29.972 9999
117.825 29.9752 9999
117.825 29.9782 9999
117.825 29.981 9999
117.825 29.9837 9999
117.825 29.9863 9999
117.825 29.9888 9999
117.825 29.9914 9999
117.825 29.994 9999
117.831 29.995 9999
117.835 29.9958 9999
117.835 29.9978 9999
117.835 29.9999 9999
117.835 30.0023 9999
117.835 30.005 9999
117.835 30.0081 9999
117.835 30.0118 9999
117.836 30.015 9999
117.839 30.015 9999
117.842 30.015 9999
117.845 30.015 9999
117.847 30.015 9999
117.85 30.015 9999
117.852 30.015 9999
117.854 30.015 9999

VALUE 0 118.435 30.1165 1.5 50.5 84.6178 169.236
POLYGON 73
118.435 30.175 9999
118.44 30.175 9999
118.446 30.175 9999
118.451 30.175 9999
118.455 30.1704 9999
118.455 30.1586 9999
118.455 30.1505 9999
118.455 30.1446 9999
118.455 30.1399 9999
118.455 30.1362 9999
118.455 30.133 9999
118.455 30.1303 9999
118.455 30.1279 9999
118.455 30.1257 9999
118.459 30.125 9999
118.467 30.125 9999
118.475 30.1235 9999
118.475 30.12 9999
118.475 30.1165 9999
118.485 30.1122 9999
118.485 30.1078 9999
118.485 30.1032 9999
118.485 30.0985 9999
118.485 30.0934 9999
118.485 30.0879 9999
118.485 30.0818 9999
118.485 30.0749 9999
118.485 30.0669 9999
118.485 30.0574 9999
118.485 30.0457 9999
118.485 30.0306 9999
118.478 30.025 9999
118.458 30.055 9999
118.449 30.065 9999
118.441 30.085 9999
118.438 30.085 9999
118.435 30.085 9999
118.433 30.085 9999
118.43 30.085 9999
118.427 30.085 9999
118.424 30.085 9999
118.421 30.085 9999
118.411 30.075 9999
118.406 30.075 9999
118.405 30.0803 9999
118.405 30.0862 9999
118.405 30.091 9999
118.405 30.0953 9999
118.405 30.099 9999
118.405 30.1024 9999
118.405 30.1055 9999
118.405 30.1084 9999
118.405 30.1112 9999
118.405 30.1139 9999
118.405 30.1165 9999
118.405 30.1192 9999
118.385 30.1254 9999
118.385 30.13 9999
118.375 30.1385 9999
118.375 30.1447 9999
118.375 30.1514 9999
118.375 30.1588 9999
118.375 30.1672 9999
118.375 30.1769 9999
118.378 30.185 9999
118.387 30.185 9999
118.407 30.165 9999
118.413 30.165 9999
118.425 30.1451 9999
118.425 30.1553 9999
118.425 30.175 9999
118.43 30.175 9999
118.435 30.175 9999

VALUE 0 118.813 30.0913 1.5 40 24.9645 49.9291
POLYGON 73
